exp,wks,type,bluecol,south,smsa,married,sex,union,education,black,lwage,industry,occupation,residence
3,32,Part Time,no,yes,no,yes,male,no,9,no,5.56068,Business_and_Repair_Service,Service_Workers,north_east
4,43,Part Time,no,yes,no,yes,male,no,9,no,5.72031,Personal_Service,Service_Workers,north_east
5,40,Part Time,no,yes,no,yes,male,no,9,no,5.99645,Business_and_Repair_Service,Service_Workers,north_east
6,39,Part Time,no,yes,no,yes,male,no,9,no,5.99645,Business_and_Repair_Service,Service_Workers,north_east
7,42,Part Time,no,yes,no,yes,male,no,9,no,6.06146,Personal_Service,"Craftsmen, Foremen_and_kindred",north_east
8,35,Part Time,no,yes,no,yes,male,no,9,no,6.17379,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
9,32,Part Time,no,yes,no,yes,male,no,9,no,6.24417,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
30,34,Part Time,yes,no,no,yes,male,no,11,no,6.16331,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
31,27,Part Time,yes,no,no,yes,male,no,11,no,6.21461,Trade,"Managers, Officials_and_Proprietors",north_east
32,33,Part Time,yes,no,no,yes,male,yes,11,no,6.2634,Trade,"Managers, Officials_and_Proprietors",north_east
33,30,Part Time,yes,no,no,yes,male,no,11,no,6.54391,Trade,"Managers, Officials_and_Proprietors",north_east
34,30,Part Time,yes,no,no,yes,male,no,11,no,6.69703,Trade,"Managers, Officials_and_Proprietors",north_east
35,37,Part Time,yes,no,no,yes,male,no,11,no,6.79122,Trade,"Managers, Officials_and_Proprietors",north_east
36,30,Part Time,yes,no,no,yes,male,no,11,no,6.81564,Construction,Laborers_and_farmers,north_east
6,50,Part Time,yes,no,no,yes,male,yes,12,no,5.65249,Construction,Laborers_and_farmers,north_east
7,51,Part Time,yes,no,no,yes,male,yes,12,no,6.43615,Construction,"Craftsmen, Foremen_and_kindred",north_east
8,50,Part Time,yes,no,no,yes,male,yes,12,no,6.54822,Trade,Clerical_and_kindred,NA
9,52,Part Time,yes,no,no,yes,male,yes,12,no,6.60259,Trade,Clerical_and_kindred,NA
10,52,Part Time,yes,no,no,yes,male,yes,12,no,6.6958,Manufacturing,"Managers, Officials_and_Proprietors",NA
11,52,Part Time,yes,no,no,no,male,yes,12,no,6.77878,Trade,Sales_Workers,NA
12,46,Part Time,yes,no,no,no,male,yes,12,no,6.86066,Trade,Sales_Workers,NA
31,52,Part Time,yes,no,yes,no,female,no,10,yes,6.15698,Trade,Sales_Workers,NA
32,46,Part Time,yes,no,yes,no,female,no,10,yes,6.23832,Trade,Sales_Workers,NA
33,46,Part Time,yes,no,yes,no,female,no,10,yes,6.30079,Trade,Sales_Workers,NA
34,49,Part Time,yes,no,yes,no,female,no,10,yes,6.35957,Transportation,Laborers_and_farmers,north_east
35,44,Part Time,yes,no,yes,no,female,no,10,yes,6.46925,Transportation,Operatives_and_kindred,north_east
36,52,Part Time,yes,no,yes,no,female,no,10,yes,6.56244,Manufacturing,Operatives_and_kindred,north_east
37,46,Part Time,yes,no,yes,no,female,no,10,yes,6.62141,Manufacturing,Operatives_and_kindred,north_east
10,50,Part Time,yes,no,no,yes,male,yes,16,no,6.43775,Business_and_Repair_Service,Operatives_and_kindred,north_east
11,46,Part Time,yes,no,no,yes,male,yes,16,no,6.62007,Manufacturing,Operatives_and_kindred,north_east
12,40,Part Time,yes,no,no,yes,male,yes,16,no,6.63332,Transportation,Clerical_and_kindred,north_east
13,50,Part Time,no,no,no,yes,male,no,16,no,6.98286,Construction,Clerical_and_kindred,north_east
14,47,Part Time,yes,no,yes,yes,male,no,16,no,7.04752,Professional_and_Related Service,Clerical_and_kindred,north_east
15,47,Part Time,no,no,no,yes,male,no,16,no,7.31322,Professional_and_Related Service,Clerical_and_kindred,north_east
16,49,Part Time,no,no,no,yes,male,no,16,no,7.29574,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
26,44,Part Time,yes,no,yes,yes,male,no,12,no,6.90575,Professional_and_Related Service,"Managers, Officials_and_Proprietors",north_east
